id,address,postal_code,price,url,bedrooms,bathrooms,area,latitude,longitude
20,"1478 Stockbridge Dr, San Jose, CA 95130",95130,1198000,https://www.zillow.com/homedetails/1478-Stockbridge-Dr-San-Jose-CA-95130/19611935_zpid/,3.0,2.0,1694,37.297003,-121.970089
21,"2341 Bluebell Ave, San Jose, CA 95122",95122,509000,https://www.zillow.com/homedetails/2341-Bluebell-Ave-San-Jose-CA-95122/19730500_zpid/,3.0,2.0,1113,37.32184,-121.829444
22,"1757 Duvall Dr, San Jose, CA 95130",95130,1250000,https://www.zillow.com/homedetails/1757-Duvall-Dr-San-Jose-CA-95130/19611185_zpid/,3.0,2.0,1066,37.290262,-121.986149
23,"3002 Betsy Way, San Jose, CA 95133",95133,133000,https://www.zillow.com/homedetails/3002-Betsy-Way-San-Jose-CA-95133/19775576_zpid/,4.0,3.0,1494,37.37889000000001,-121.841095
24,"1190 Pusateri Way, San Jose, CA 95121",95121,925000,https://www.zillow.com/homedetails/1190-Pusateri-Way-San-Jose-CA-95121/19741457_zpid/,4.0,2.0,1594,37.303132,-121.825474
25,"3226 Vintage Crest Dr, San Jose, CA 95148",95148,1498000,https://www.zillow.com/homedetails/3226-Vintage-Crest-Dr-San-Jose-CA-95148/19794612_zpid/,5.0,3.0,3138,37.320459,-121.776599
26,"5915 Amapola Dr, San Jose, CA 95129",95129,2350000,https://www.zillow.com/homedetails/5915-Amapola-Dr-San-Jose-CA-95129/19645401_zpid/,4.0,2.0,1943,37.308251,-122.006942
27,"259 N 27th St, San Jose, CA 95116",95116,2000000,https://www.zillow.com/homedetails/259-N-27th-St-San-Jose-CA-95116/19710027_zpid/,2.0,1.0,692,37.351695,-121.86863999999998
28,"1610 Seacreek Way, San Jose, CA 95121",95121,600000,https://www.zillow.com/homedetails/1610-Seacreek-Way-San-Jose-CA-95121/19806576_zpid/,2.0,2.0,1234,37.304575,-121.812693
29,"6275 Kelez Ct, San Jose, CA 95120",95120,675000,https://www.zillow.com/homedetails/6275-Kelez-Ct-San-Jose-CA-95120/19762738_zpid/,3.0,2.5,1600,37.22857800000001,-121.871857
30,"4085 Ross Ave, San Jose, CA 95124",95124,1100000,https://www.zillow.com/homedetails/4085-Ross-Ave-San-Jose-CA-95124/19673365_zpid/,3.0,2.0,1105,37.257839,-121.913118
31,"463 Waskow Dr, San Jose, CA 95123",95123,915000,https://www.zillow.com/homedetails/463-Waskow-Dr-San-Jose-CA-95123/19823092_zpid/,3.0,2.0,1143,37.233842,-121.817968
32,"1129 Longshore Dr, San Jose, CA 95128",95128,925000,https://www.zillow.com/homedetails/1129-Longshore-Dr-San-Jose-CA-95128/19588863_zpid/,3.0,3.0,1606,37.306504,-121.939833
33,"1129 Longshore Dr, San Jose, CA 95128",95128,925000,https://www.zillow.com/homedetails/1129-Longshore-Dr-San-Jose-CA-95128/19588863_zpid/,3.0,3.0,1606,37.306504,-121.939833
34,"1556 Foxworthy Ave, San Jose, CA 95118",95118,973000,https://www.zillow.com/homedetails/1556-Foxworthy-Ave-San-Jose-CA-95118/19693557_zpid/,3.0,2.0,1310,37.272095,-121.899783
35,"1556 Foxworthy Ave, San Jose, CA 95118",95118,973000,https://www.zillow.com/homedetails/1556-Foxworthy-Ave-San-Jose-CA-95118/19693557_zpid/,3.0,2.0,1310,37.272095,-121.899783
36,"1898 Anne Marie Ct, San Jose, CA 95132",95132,1200000,https://www.zillow.com/homedetails/1898-Anne-Marie-Ct-San-Jose-CA-95132/19771989_zpid/,4.0,2.0,1538,37.40617,-121.874954
37,"1998 Lincoln Ave, San Jose, CA 95125",95125,1450000,https://www.zillow.com/homedetails/1998-Lincoln-Ave-San-Jose-CA-95125/19685891_zpid/,3.0,3.0,1848,37.294724,-121.89068799999998
38,"805 Bend Ave, San Jose, CA 95136",95136,286500,https://www.zillow.com/homedetails/805-Bend-Ave-San-Jose-CA-95136/19703219_zpid/,4.0,2.0,1847,37.270562,-121.86622
39,"1199 Washoe Dr, San Jose, CA 95120",95120,1350000,https://www.zillow.com/homedetails/1199-Washoe-Dr-San-Jose-CA-95120/19765079_zpid/,4.0,3.0,2496,37.219058,-121.867051
40,"7063 Phyllis Ave, San Jose, CA 95129",95129,1980000,https://www.zillow.com/homedetails/7063-Phyllis-Ave-San-Jose-CA-95129/19640858_zpid/,3.0,2.0,1438,37.303984,-122.026681
41,"6303 Mojave Dr, San Jose, CA 95120",95120,144000,https://www.zillow.com/homedetails/6303-Mojave-Dr-San-Jose-CA-95120/19762814_zpid/,4.0,2.0,2016,37.226866,-121.873725
42,"1444 Madrona Ave, San Jose, CA 95125",95125,1400000,https://www.zillow.com/homedetails/1444-Madrona-Ave-San-Jose-CA-95125/19685065_zpid/,4.0,3.0,2064,37.287514,-121.898142
43,"822 Point Creek Ct, San Jose, CA 95133",95133,1412000,https://www.zillow.com/homedetails/822-Point-Creek-Ct-San-Jose-CA-95133/19776221_zpid/,4.0,3.0,2725,37.383494,-121.847839
44,"822 Point Creek Ct, San Jose, CA 95133",95133,1412000,https://www.zillow.com/homedetails/822-Point-Creek-Ct-San-Jose-CA-95133/19776221_zpid/,4.0,3.0,2725,37.383494,-121.847839
45,"2521 Alveswood Cir, San Jose, CA 95131",95131,535000,https://www.zillow.com/homedetails/2521-Alveswood-Cir-San-Jose-CA-95131/19563316_zpid/,2.0,2.0,1178,37.40393,-121.883729
46,"1303 Flora Ave, San Jose, CA 95130",95130,1051000,https://www.zillow.com/homedetails/1303-Flora-Ave-San-Jose-CA-95130/19611662_zpid/,3.0,2.0,1496,37.300699,-121.97593700000002
47,"2465 Verwood Dr, San Jose, CA 95130",95130,1200000,https://www.zillow.com/homedetails/2465-Verwood-Dr-San-Jose-CA-95130/19662250_zpid/,3.0,2.0,1087,37.277407,-121.981411
48,"1734 Ridgetree Way, San Jose, CA 95131",95131,675000,https://www.zillow.com/homedetails/1734-Ridgetree-Way-San-Jose-CA-95131/19562382_zpid/,4.0,3.0,3151,37.398666,-121.877545
49,"1570 Parkview Ave, San Jose, CA 95130",95130,1600000,https://www.zillow.com/homedetails/1570-Parkview-Ave-San-Jose-CA-95130/19610753_zpid/,5.0,4.0,2622,37.294408,-121.982
50,"216 Race St, San Jose, CA 95126",95126,553000,https://www.zillow.com/homedetails/216-Race-St-San-Jose-CA-95126/19576398_zpid/,2.0,2.0,740,37.325516,-121.91106299999998
51,"1776 Lucretia Ave, San Jose, CA 95122",95122,775000,https://www.zillow.com/homedetails/1776-Lucretia-Ave-San-Jose-CA-95122/19717488_zpid/,2.0,3.0,1585,37.322643,-121.849595
52,"278 Checkers Dr, San Jose, CA 95116",95116,735000,https://www.zillow.com/homedetails/278-Checkers-Dr-San-Jose-CA-95116/19720957_zpid/,3.0,2.0,1207,37.359729,-121.856894
53,"507 Bella Calais Way, San Jose, CA 95138",95138,1150000,https://www.zillow.com/homedetails/507-Bella-Calais-Way-San-Jose-CA-95138/19811330_zpid/,4.0,3.0,1942,37.241343,-121.760089
54,"5822 Silver Leaf Rd, San Jose, CA 95138",95138,900500,https://www.zillow.com/homedetails/5822-Silver-Leaf-Rd-San-Jose-CA-95138/19810247_zpid/,4.0,2.0,1355,37.24681,-121.781083
55,"3224 Foxboro Pl, San Jose, CA 95135",95135,1450000,https://www.zillow.com/homedetails/3224-Foxboro-Pl-San-Jose-CA-95135/19792633_zpid/,4.0,3.0,1990,37.311262,-121.783531
56,"5527 Sean Cir APT 69, San Jose, CA 95123",95123,549999,https://www.zillow.com/homedetails/5527-Sean-Cir-APT-69-San-Jose-CA-95123/19826916_zpid/,2.0,2.0,997,37.254186,-121.830512
57,"5486 Sean Cir APT 26, San Jose, CA 95123",95123,561000,https://www.zillow.com/homedetails/5486-Sean-Cir-APT-26-San-Jose-CA-95123/19826787_zpid/,2.0,2.0,1060,37.253545,-121.828635
58,"6557 Crown Blvd, San Jose, CA 95120",95120,1650000,https://www.zillow.com/homedetails/6557-Crown-Blvd-San-Jose-CA-95120/19765151_zpid/,3.0,2.0,1891,37.217404,-121.86367
59,"126 E Humboldt St, San Jose, CA 95112",95112,710000,https://www.zillow.com/homedetails/126-E-Humboldt-St-San-Jose-CA-95112/19714152_zpid/,3.0,2.0,1208,37.31971,-121.874772
60,"2330 Mossdale Way, San Jose, CA 95133",95133,585888,https://www.zillow.com/homedetails/2330-Mossdale-Way-San-Jose-CA-95133/19571366_zpid/,3.0,1.0,1050,37.37728,-121.860368
61,"2330 Mossdale Way, San Jose, CA 95133",95133,585888,https://www.zillow.com/homedetails/2330-Mossdale-Way-San-Jose-CA-95133/19571366_zpid/,3.0,1.0,1050,37.37728,-121.860368
62,"5364 Colony Park Cir, San Jose, CA 95123",95123,700000,https://www.zillow.com/homedetails/5364-Colony-Park-Cir-San-Jose-CA-95123/71331933_zpid/,3.0,2.0,1260,37.258188,-121.842476
63,"5364 Colony Park Cir, San Jose, CA 95123",95123,700000,https://www.zillow.com/homedetails/5364-Colony-Park-Cir-San-Jose-CA-95123/71331933_zpid/,3.0,2.0,1260,37.258188,-121.842476
64,"1396 Pinehurst Sq, San Jose, CA 95117",95117,1005000,https://www.zillow.com/homedetails/1396-Pinehurst-Sq-San-Jose-CA-95117/19609137_zpid/,2.0,3.0,1292,37.29948,-121.960504
65,"2039 Tahiti Ct, San Jose, CA 95122",95122,648000,https://www.zillow.com/homedetails/2039-Tahiti-Ct-San-Jose-CA-95122/19715727_zpid/,3.0,1.0,1061,37.321664,-121.841039
66,"4102 Rosenbaum Ave, San Jose, CA 95136",95136,1050000,https://www.zillow.com/homedetails/4102-Rosenbaum-Ave-San-Jose-CA-95136/19705144_zpid/,3.0,2.0,1442,37.274,-121.8442
67,"1126 Shenandoah Dr, San Jose, CA 95125",95125,935000,https://www.zillow.com/homedetails/1126-Shenandoah-Dr-San-Jose-CA-95125/19688589_zpid/,2.0,2.5,1740,37.289255,-121.885458
68,"4719 Holston River Ct, San Jose, CA 95136",95136,2340000,https://www.zillow.com/homedetails/4719-Holston-River-Ct-San-Jose-CA-95136/19701990_zpid/,4.0,2.5,1760,37.263701,-121.85976
69,"1283 Isengard Ct, San Jose, CA 95121",95121,780000,https://www.zillow.com/homedetails/1283-Isengard-Ct-San-Jose-CA-95121/19735391_zpid/,4.0,2.0,2108,37.299485,-121.816244
70,"4608 Meadowhurst Ct, San Jose, CA 95136",95136,870000,https://www.zillow.com/homedetails/4608-Meadowhurst-Ct-San-Jose-CA-95136/19702192_zpid/,3.0,3.0,1548,37.264636,-121.864106
71,"2145 Sunny Vista Dr, San Jose, CA 95128",95128,1150000,https://www.zillow.com/homedetails/2145-Sunny-Vista-Dr-San-Jose-CA-95128/19583204_zpid/,3.0,1.0,1140,37.336627,-121.940124
72,"2145 Sunny Vista Dr, San Jose, CA 95128",95128,1150000,https://www.zillow.com/homedetails/2145-Sunny-Vista-Dr-San-Jose-CA-95128/19583204_zpid/,3.0,1.0,1140,37.336627,-121.940124
73,"1667 Arbor Dr, San Jose, CA 95125",95125,1100000,https://www.zillow.com/homedetails/1667-Arbor-Dr-San-Jose-CA-95125/19684345_zpid/,4.0,2.0,1470,37.303357,-121.884708
74,"2980 Booksin Ave, San Jose, CA 95125",95125,1330000,https://www.zillow.com/homedetails/2980-Booksin-Ave-San-Jose-CA-95125/19693091_zpid/,3.0,2.0,1845,37.273999,-121.89598
75,"1522 Estelle Ave, San Jose, CA 95118",95118,1330000,https://www.zillow.com/homedetails/1522-Estelle-Ave-San-Jose-CA-95118/19694929_zpid/,5.0,4.0,2450,37.267871,-121.895766
76,"1522 Estelle Ave, San Jose, CA 95118",95118,1330000,https://www.zillow.com/homedetails/1522-Estelle-Ave-San-Jose-CA-95118/19694929_zpid/,5.0,4.0,2450,37.267871,-121.895766
77,"1433 Sandringham Way, San Jose, CA 95126",95126,1750000,https://www.zillow.com/homedetails/1433-Sandringham-Way-San-Jose-CA-95126/19584736_zpid/,5.0,3.0,2624,37.331937,-121.922084
78,"1572 Four Oaks Cir, San Jose, CA 95131",95131,469000,https://www.zillow.com/homedetails/1572-Four-Oaks-Cir-San-Jose-CA-95131/19564816_zpid/,2.0,2.0,992,37.390321,-121.872194
79,"2360 Mammoth Dr, San Jose, CA 95116",95116,1255000,https://www.zillow.com/homedetails/2360-Mammoth-Dr-San-Jose-CA-95116/153406862_zpid/,0.0,,3479,37.364081,-121.846995
80,"1485 De Rose Way APT 118, San Jose, CA 95126",95126,615000,https://www.zillow.com/homedetails/1485-De-Rose-Way-APT-118-San-Jose-CA-95126/19591644_zpid/,2.0,2.0,1224,37.305705,-121.920352
81,"880 Georgetown Pl, San Jose, CA 95126",95126,1225000,https://www.zillow.com/homedetails/880-Georgetown-Pl-San-Jose-CA-95126/63065282_zpid/,3.0,3.0,1856,37.32801,-121.905806
82,"814 Owens Lake Dr, San Jose, CA 95123",95123,700000,https://www.zillow.com/homedetails/814-Owens-Lake-Dr-San-Jose-CA-95123/19832473_zpid/,2.0,2.0,982,37.24345200000001,-121.865363
83,"40 Hobson St, San Jose, CA 95110",95110,1145000,https://www.zillow.com/homedetails/40-Hobson-St-San-Jose-CA-95110/19574142_zpid/,3.0,2.0,1484,37.346184,-121.898901
84,"40 Hobson St, San Jose, CA 95110",95110,1145000,https://www.zillow.com/homedetails/40-Hobson-St-San-Jose-CA-95110/19574142_zpid/,3.0,2.0,1484,37.346184,-121.898901
85,"1576 Hester Ave, San Jose, CA 95126",95126,1200000,https://www.zillow.com/homedetails/1576-Hester-Ave-San-Jose-CA-95126/19581982_zpid/,3.0,2.0,1392,37.327739,-121.921318
86,"1128 El Abra Way, San Jose, CA 95125",95125,1860000,https://www.zillow.com/homedetails/1128-El-Abra-Way-San-Jose-CA-95125/19578785_zpid/,4.0,3.0,2558,37.308635,-121.902395
87,"1440 Rue Avati, San Jose, CA 95131",95131,781000,https://www.zillow.com/homedetails/1440-Rue-Avati-San-Jose-CA-95131/19565773_zpid/,4.0,2.0,1600,37.383147,-121.878645
88,"279 Palacio Royale Cir, San Jose, CA 95116",95116,529000,https://www.zillow.com/homedetails/279-Palacio-Royale-Cir-San-Jose-CA-95116/19720460_zpid/,4.0,3.0,1474,37.35941,-121.852663
89,"5578 Spinnaker Dr APT 4, San Jose, CA 95123",95123,440000,https://www.zillow.com/homedetails/5578-Spinnaker-Dr-APT-4-San-Jose-CA-95123/19826546_zpid/,2.0,1.0,798,37.252092,-121.824332
90,"3258 Shadow Park Pl, San Jose, CA 95121",95121,446000,https://www.zillow.com/homedetails/3258-Shadow-Park-Pl-San-Jose-CA-95121/19802848_zpid/,2.0,1.0,911,37.30529,-121.817529
91,"2014 Tradan Dr, San Jose, CA 95132",95132,700000,https://www.zillow.com/homedetails/2014-Tradan-Dr-San-Jose-CA-95132/19563538_zpid/,2.0,2.0,966,37.401527,-121.883088
92,"325 Greendale Way, San Jose, CA 95129",95129,1945000,https://www.zillow.com/homedetails/325-Greendale-Way-San-Jose-CA-95129/153275130_zpid/,2.0,1.0,950,37.320099,-121.983375
93,"956 Gretchen Ln, San Jose, CA 95117",95117,1100000,https://www.zillow.com/homedetails/956-Gretchen-Ln-San-Jose-CA-95117/153278107_zpid/,2.0,1.0,768,37.309267,-121.975638
94,"920 Mccreery Ave, San Jose, CA 95116",95116,342000,https://www.zillow.com/homedetails/920-Mccreery-Ave-San-Jose-CA-95116/19719964_zpid/,3.0,2.0,1105,37.344133,-121.842263
95,"525 Hillbright Pl, San Jose, CA 95123",95123,810000,https://www.zillow.com/homedetails/525-Hillbright-Pl-San-Jose-CA-95123/19821837_zpid/,3.0,2.0,1392,37.246435,-121.829726
96,"1845 Tustin Dr, San Jose, CA 95122",95122,840000,https://www.zillow.com/homedetails/1845-Tustin-Dr-San-Jose-CA-95122/19802268_zpid/,4.0,2.0,1545,37.313761,-121.813009
97,"5054 Trenary Way, San Jose, CA 95118",95118,980000,https://www.zillow.com/homedetails/5054-Trenary-Way-San-Jose-CA-95118/19758881_zpid/,3.0,2.0,1232,37.25615300000001,-121.883911
98,"5054 Trenary Way, San Jose, CA 95118",95118,980000,https://www.zillow.com/homedetails/5054-Trenary-Way-San-Jose-CA-95118/19758881_zpid/,3.0,2.0,1232,37.25615300000001,-121.883911
99,"5698 Waltrip Ln, San Jose, CA 95118",95118,1379000,https://www.zillow.com/homedetails/5698-Waltrip-Ln-San-Jose-CA-95118/19755251_zpid/,4.0,2.0,1730,37.241396,-121.886677
100,"5698 Waltrip Ln, San Jose, CA 95118",95118,1379000,https://www.zillow.com/homedetails/5698-Waltrip-Ln-San-Jose-CA-95118/19755251_zpid/,4.0,2.0,1730,37.241396,-121.886677
101,"3243 Jade Ave, San Jose, CA 95117",95117,1500000,https://www.zillow.com/homedetails/3243-Jade-Ave-San-Jose-CA-95117/19605035_zpid/,4.0,1.5,1911,37.309674,-121.954192
102,"326 Huckleberry Dr, San Jose, CA 95123",95123,98000,https://www.zillow.com/homedetails/326-Huckleberry-Dr-San-Jose-CA-95123/19824705_zpid/,5.0,4.0,2952,37.23897,-121.810454
103,"222 Race St, San Jose, CA 95126",95126,625000,https://www.zillow.com/homedetails/222-Race-St-San-Jose-CA-95126/19576393_zpid/,2.0,2.0,740,37.325322,-121.910978
104,"2321 Reno Dr, San Jose, CA 95148",95148,63000,https://www.zillow.com/homedetails/2321-Reno-Dr-San-Jose-CA-95148/19789596_zpid/,3.0,3.0,2411,37.34139,-121.792327
105,"1514 Pine Grove Way, San Jose, CA 95129",95129,2430000,https://www.zillow.com/homedetails/1514-Pine-Grove-Way-San-Jose-CA-95129/19646763_zpid/,4.0,3.0,2223,37.295346,-122.0088
106,"447 Colony Knoll Dr, San Jose, CA 95123",95123,564000,https://www.zillow.com/homedetails/447-Colony-Knoll-Dr-San-Jose-CA-95123/19709437_zpid/,2.0,1.0,942,37.257048,-121.842598
107,"6949 Rodling Dr UNIT B, San Jose, CA 95138",95138,630000,https://www.zillow.com/homedetails/6949-Rodling-Dr-UNIT-B-San-Jose-CA-95138/19810994_zpid/,2.0,2.5,1093,37.236674,-121.767719
108,"367 Lewis Rd, San Jose, CA 95111",95111,400000,https://www.zillow.com/homedetails/367-Lewis-Rd-San-Jose-CA-95111/19737902_zpid/,3.0,2.5,1410,37.29502100000001,-121.842554
109,"1221 Polk Spring Ct, San Jose, CA 95120",95120,855000,https://www.zillow.com/homedetails/1221-Polk-Spring-Ct-San-Jose-CA-95120/19767938_zpid/,2.0,2.5,1298,37.198047,-121.845712
110,"345 N 21st St, San Jose, CA 95112",95112,825000,https://www.zillow.com/homedetails/345-N-21st-St-San-Jose-CA-95112/19569782_zpid/,3.0,2.0,1224,37.351113,-121.875139
111,"2116 Bello Ave, San Jose, CA 95125",95125,1200000,https://www.zillow.com/homedetails/2116-Bello-Ave-San-Jose-CA-95125/19692874_zpid/,2.0,1.0,1148,37.286151,-121.90408
112,"5774 Crow Ln, San Jose, CA 95123",95123,815000,https://www.zillow.com/homedetails/5774-Crow-Ln-San-Jose-CA-95123/19820187_zpid/,3.0,2.0,1173,37.245548,-121.831417
113,"922 N 6th St, San Jose, CA 95112",95112,261590,https://www.zillow.com/homedetails/922-N-6th-St-San-Jose-CA-95112/19559323_zpid/,3.0,1.0,1583,37.356502,-121.898084
114,"2228 Marques Ave, San Jose, CA 95125",95125,1200000,https://www.zillow.com/homedetails/2228-Marques-Ave-San-Jose-CA-95125/19692850_zpid/,3.0,1.0,1151,37.285248,-121.902267
115,"3339 Mira Vista Ct, San Jose, CA 95132",95132,1200000,https://www.zillow.com/homedetails/3339-Mira-Vista-Ct-San-Jose-CA-95132/19777154_zpid/,3.0,2.0,1676,37.392158,-121.841389
116,"2779 Lavender Ter, San Jose, CA 95111",95111,860000,https://www.zillow.com/homedetails/2779-Lavender-Ter-San-Jose-CA-95111/116156926_zpid/,4.0,3.0,1929,37.295039,-121.845153
117,"1082 Craig Dr, San Jose, CA 95129",95129,1800000,https://www.zillow.com/homedetails/1082-Craig-Dr-San-Jose-CA-95129/19642038_zpid/,3.0,2.0,1133,37.30618,-122.015621
118,"2305 Mazzaglia Ave, San Jose, CA 95125",95125,1475000,https://www.zillow.com/homedetails/2305-Mazzaglia-Ave-San-Jose-CA-95125/19687253_zpid/,3.0,2.0,1482,37.287151,-121.89142
119,"5188 Barron Park Dr, San Jose, CA 95136",95136,1065000,https://www.zillow.com/homedetails/5188-Barron-Park-Dr-San-Jose-CA-95136/19708420_zpid/,5.0,3.0,2533,37.25810900000001,-121.84751
120,"6818 Heathfield Ct, San Jose, CA 95120",95120,1515000,https://www.zillow.com/homedetails/6818-Heathfield-Ct-San-Jose-CA-95120/19836539_zpid/,4.0,3.0,2240,37.213659,-121.847301
121,"934 Marble Ct, San Jose, CA 95120",95120,1600000,https://www.zillow.com/homedetails/934-Marble-Ct-San-Jose-CA-95120/19836394_zpid/,4.0,2.0,2167,37.219259,-121.84523
122,"2177 Alum Rock Ave APT 222, San Jose, CA 95116",95116,1054000,https://www.zillow.com/homedetails/2177-Alum-Rock-Ave-APT-222-San-Jose-CA-95116/69303606_zpid/,2.0,2.0,996,37.357937,-121.845926
123,"2426 Balme Dr, San Jose, CA 95122",95122,147500,https://www.zillow.com/homedetails/2426-Balme-Dr-San-Jose-CA-95122/19717208_zpid/,2.0,2.0,912,37.315517,-121.837956
124,"4677 Persimmon Pl, San Jose, CA 95129",95129,1000000,https://www.zillow.com/homedetails/4677-Persimmon-Pl-San-Jose-CA-95129/19651371_zpid/,2.0,1.0,1000,37.316617,-121.985257
125,"579 Sinclair Dr, San Jose, CA 95116",95116,970000,https://www.zillow.com/homedetails/579-Sinclair-Dr-San-Jose-CA-95116/19719274_zpid/,6.0,2.0,1760,37.349803,-121.84251299999998
126,"3179 Loma Verde Dr APT 4, San Jose, CA 95117",95117,885000,https://www.zillow.com/homedetails/3179-Loma-Verde-Dr-APT-4-San-Jose-CA-95117/19610406_zpid/,2.0,3.0,1306,37.298972,-121.952304
127,"1176 Creston Ln, San Jose, CA 95122",95122,745000,https://www.zillow.com/homedetails/1176-Creston-Ln-San-Jose-CA-95122/19714729_zpid/,4.0,2.0,1151,37.330501,-121.838009
128,"1143 Fair Ave, San Jose, CA 95122",95122,760000,https://www.zillow.com/homedetails/1143-Fair-Ave-San-Jose-CA-95122/19715891_zpid/,3.0,2.0,1128,37.32594,-121.847346
129,"3518 Jasmine Cir, San Jose, CA 95135",95135,972000,https://www.zillow.com/homedetails/3518-Jasmine-Cir-San-Jose-CA-95135/54772356_zpid/,3.0,2.5,1346,37.308992,-121.757135
130,"2387 Ralston Ct, San Jose, CA 95148",95148,750000,https://www.zillow.com/homedetails/2387-Ralston-Ct-San-Jose-CA-95148/19804175_zpid/,4.0,2.0,1476,37.314591,-121.798344
131,"2473 Ottawa Way, San Jose, CA 95130",95130,1950000,https://www.zillow.com/homedetails/2473-Ottawa-Way-San-Jose-CA-95130/19660852_zpid/,4.0,3.0,2014,37.277549,-121.986032
132,"2175 Summerton Dr, San Jose, CA 95122",95122,430000,https://www.zillow.com/homedetails/2175-Summerton-Dr-San-Jose-CA-95122/19717315_zpid/,1.0,1.0,746,37.318475,-121.842078
133,"2668 Ponselle Ct, San Jose, CA 95121",95121,450000,https://www.zillow.com/homedetails/2668-Ponselle-Ct-San-Jose-CA-95121/19800816_zpid/,2.0,1.0,884,37.314114,-121.824861
134,"5863 El Dori Dr, San Jose, CA 95123",95123,1073850,https://www.zillow.com/homedetails/5863-El-Dori-Dr-San-Jose-CA-95123/19830011_zpid/,5.0,,2230,37.246339,-121.863962
